时间(s),温度(摄氏度)
94.500,149.747742232079
95,150.127711988151
95.500,150.503589355452
96,150.875456948887
96.500,151.243397383361
97,151.607493273780
97.500,151.967827235049
98,152.324481882074
98.500,152.672963188353
99,153.016299499842
99.500,153.355572535372
100,153.690843276178
100.50,154.022172703497
101,154.349621798566
101.50,154.673251542619
102,154.993122916892
102.50,155.309296902623
103,155.621834481047
103.50,155.930796633400
104,156.236244340917
104.50,156.538238584836
105,156.836840346391
105.50,157.132110606820
106,157.424110347357
106.50,157.712900549240
107,157.998542193704
107.50,158.281096261984
108,158.560623735318
108.50,158.837185594941
109,159.110842822089
109.50,159.381656397998
110,159.649687303904
110.50,159.914996521043
111,160.177645030652
111.50,160.437693813966
112,160.693261937585
112.50,160.943241219877
113,161.190275644736
113.50,161.434407863456
114,161.675680527331
114.50,161.914136287655
115,162.149817795723
115.50,162.382767702827
116,162.613028660262
116.50,162.840643319322
117,163.065654331301
117.50,163.288104347493
118,163.508036019192
118.50,163.725491997692
119,163.940514934286
119.50,164.153147480269
120,164.363432286935
120.50,164.571412005577
121,164.777129287490
121.50,164.980626783968
122,165.181947146304
122.50,165.381133025793
123,165.578227073729
123.50,165.773271941405
124,165.966310280116
124.50,166.157384741155
125,166.346537975816
125.50,166.533753779100
126,166.715865140531
126.50,166.895825858087
127,167.073666005783
127.50,167.249415657637
128,167.423104887664
128.50,167.594763769882
129,167.764422378306
129.50,167.932110786954
130,168.097859069841
130.50,168.261697300984
131,168.423655554400
131.50,168.583763904106
132,168.742052424117
132.50,168.898551188450
133,169.053290271122
133.50,169.206299746148
134,169.357609687547
134.50,169.507250169333
135,169.655251265525
135.50,169.801643050137
136,169.946455597187
136.50,170.089718980691
137,170.231463274665
137.50,170.371718553126
138,170.510514890091
138.50,170.647882359576
139,170.783851035598
139.50,170.917676813554
140,171.049520999602
140.50,171.179830293057
141,171.308622668490
141.50,171.435916100469
142,171.561728563565
142.50,171.686078032347
143,171.808982481385
143.50,171.930459885248
144,172.050528218507
144.50,172.169205455731
145,172.286509571490
145.50,172.402458540353
146,172.517070336891
146.50,172.630362935672
147,172.742354311267
147.50,172.853062438245
148,172.962416606991
148.50,173.070402019597
149,173.177092089900
149.50,173.282497901028
150,173.386630536105
150.50,173.489501078258
151,173.591120610614
151.50,173.691500216298
152,173.790642428523
152.50,173.888562333294
153,173.985329044208
153.50,174.080959909123
154,174.175521683415
154.50,174.269227418971
155,174.362496719620
155.50,174.456059541035
156,174.550580480067
156.50,174.647300912270
157,174.747378345672
157.50,174.851691670587
158,174.961002157481
158.50,175.075817870756
159,175.196747185934
159.50,175.324493528728
160,175.460308882688
160.50,175.604469246016
161,175.756695496163
161.50,175.918351892951
162,176.088816000117
162.50,176.268069117786
163,176.456096038443
163.50,176.652907865309
164,176.856758195378
164.50,177.068365293983
165,177.284869412884
165.50,177.503839434768
166,177.728433056689
166.50,177.958650278647
167,178.194491100642
167.50,178.435955522674
168,178.676524787498
168.50,178.917390618681
169,179.160965474056
169.50,179.407249353625
170,179.656242257386
170.50,179.907944185340
171,180.154594276544
171.50,180.401237194586
172,180.648167427554
172.50,180.895384975448
173,181.142889838268
173.50,181.389699405804
174,181.632380603231
174.50,181.873844694280
175,182.114091678951
175.50,182.353121557244
176,182.590934329159
176.50,182.826578382634
177,183.059402755334
177.50,183.290231173361
178,183.519063636715
178.50,183.745900145395
179,183.970293486327
179.50,184.192257478084
180,184.411798166202
180.50,184.629058613201
181,184.844046182092
181.50,185.056929587944
182,185.268150567089
182.50,185.478573103220
183,185.689485993355
183.50,185.902331774029
184,186.119132292278
184.50,186.341526684594
185,186.570780898419
185.50,186.808047901964
186,187.054108811533
186.50,187.309977357334
187,187.576924477687
187.50,187.856213455733
188,188.149255044717
188.50,188.456197004214
189,188.776671462004
189.50,189.111370451065
190,189.459971315888
190.50,189.821717115129
191,190.195564736937
191.50,190.582178468896
192,190.978247449414
192.50,191.384089680318
193,191.798559707274
193.50,192.212671182018
194,192.633589752347
194.50,193.061315418262
195,193.495848179762
195.50,193.937188036848
196,194.378823178170
196.50,194.817264837428
197,195.258200218482
197.50,195.701629321330
198,196.147552145974
198.50,196.595968692414
199,197.038056688476
199.50,197.477569728222
200,197.916230122954
200.50,198.354037872671
201,198.790992977375
201.50,199.226319103891
202,199.654713287553
202.50,200.080281371945
203,200.503023357067
203.50,200.922939242919
204,201.340029029501
204.50,201.753436905308
205,202.162184564500
205.50,202.566978343866
206,202.967628005885
206.50,203.363954198229
207,203.756062559616
207.50,204.143596964843
208,204.526829776326
208.50,204.905224289991
209,205.280249241609
209.50,205.652290210828
210,206.022151250448
210.50,206.390150732612
211,206.756966179589
211.50,207.123091080129
212,207.489219317882
212.50,207.855809301513
213,208.223552528238
213.50,208.592876193525
214,208.964533705588
214.50,209.338770579828
215,209.716652601163
215.50,210.098267516738
216,210.484206688341
216.50,210.874206245114
217,211.268279263037
217.50,211.666431020494
218,212.068661517486
218.50,212.473412212959
219,212.880611041420
219.50,213.290906851884
220,213.704299644351
220.50,214.118835285052
221,214.532959924775
221.50,214.948398475814
222,215.365150938170
222.50,215.782008976051
223,216.195943431617
223.50,216.609299725416
224,217.022077857448
224.50,217.433538425281
225,217.836993162444
225.50,218.238384182577
226,218.637711485681
226.50,219.034975071754
227,219.430174940798
227.50,219.823311092812
228,220.214383527796
228.50,220.603392245751
229,220.990337246675
229.50,221.373347774385
230,221.749272311358
230.50,222.121924581379
231,222.491304584447
231.50,222.857412320563
232,223.220247789726
232.50,223.579810991936
233,223.936101927193
233.50,224.289120595498
234,224.638866996850
234.50,224.984150416015
235,225.324687492264
235.50,225.661501364493
236,225.994592032704
236.50,226.323959496897
237,226.649603757070
237.50,226.971524813224
238,227.289722665359
238.50,227.604197313476
239,227.914948757573
239.50,228.222316841883
240,228.526172334874
240.50,228.826394636166
241,229.122983745759
241.50,229.415939663653
242,229.705262389848
242.50,229.990951924345
243,230.273008267143
243.50,230.551431418242
244,230.826221377642
244.50,231.102102572260
245,231.375160386375
245.50,231.645023966514
246,231.911693312677
246.50,232.175168424863
247,232.435449303072
247.50,232.692535947306
248,232.946428357563
248.50,233.197126533844
249,233.444630476149
249.50,233.688940184477
250,233.930055658829
250.50,234.167976899204
251,234.402703905604
251.50,234.634236678027
252,234.862575216473
252.50,235.087719520944
253,235.309669591438
253.50,235.528425427956
254,235.743987030497
254.50,235.956354399062
255,236.165527533651
255.50,236.372767392624
256,236.578299819705
256.50,236.781260765516
257,236.981650230056
257.50,237.179468213325
258,237.374714715323
258.50,237.567389736050
259,237.757951450744
259.50,237.946452134270
260,238.132819220201
260.50,238.317012407773
261,238.499036882608
261.50,238.678902868645
262,238.856642479729
262.50,239.032274485539
263,239.205670172027
263.50,239.375746639767
264,239.538956719386
264.50,239.688082344736
265,239.812079413165
265.50,239.899638911699
266,239.938010699850
266.50,239.917492598708
267,239.832082955587
267.50,239.677424818674
268,239.452437355801
268.50,239.156902457768
269,238.792273853934
269.50,238.360361553298
270,237.865732358561
270.50,237.313672624886
271,236.700867906306
271.50,236.040521434002
272,235.330127311447
272.50,234.572874217001
273,233.781203753630
273.50,232.948442377410
274,232.087970406422
274.50,231.199382298605
275,230.285506260074
275.50,229.364044269074
276,228.421718018414
276.50,227.458527508093
277,226.474472738112
277.50,225.494728491143
278,224.505719745238
278.50,223.506089606568
279,222.495838075134
279.50,221.487387025584
280,220.482038345985
280.50,219.474027723767
281,218.463355158929
281.50,217.454007775224
282,216.453708785057
282.50,215.456016427598
283,214.460930702847
283.50,213.468691925036
284,212.491644780127
284.50,211.520271666459
285,210.554572584033
285.50,209.594547532848
286,208.640196512903
286.50,207.691519524200
287,206.748516566738
287.50,205.817229666130
288,204.896012114046
288.50,203.982615523624
289,203.077039894865
289.50,202.179285227769
290,201.289351522335
290.50,200.407238778564
291,199.534293677060
291.50,198.671980346659
292,197.818403348001
292.50,196.973562681086
293,196.137458345913
293.50,195.310090342483
294,194.491458670796
294.50,193.681572271877
295,192.880577192671
295.50,192.088357270545
296,191.304912505498
296.50,190.530242897531
297,189.764348446643
297.50,189.007229152834
298,188.258885016105
298.50,187.515998399043
299,186.780231188559
299.50,186.052657710134
300,185.333277963769
300.50,184.622091949464
301,183.919099667219
301.50,183.224301117033
302,182.537696298908
302.50,181.859285212842
303,181.189067858836
303.50,180.527044236890
304,179.873214347004
304.50,179.227578189178
305,178.590135763412
305.50,177.960033855077
306,177.331368914081
306.50,176.709938265361
307,176.095741908915
307.50,175.488779844743
308,174.889052072846
308.50,174.296558593224
309,173.711299405877
309.50,173.133274510804
310,172.562483908005
310.50,171.998927597481
311,171.442605579232
311.50,170.893517853258
312,170.351664419558
312.50,169.817045278132
313,169.285735071758
313.50,168.756930481207
314,168.234318731605
314.50,167.717899822952
315,167.207673755248
315.50,166.703640528493
316,166.205800142687
316.50,165.714152597831
317,165.228697893923
317.50,164.749436030964
318,164.276367008955
318.50,163.809490827894
319,163.348807487782
319.50,162.894316988620
320,162.446019330406
320.50,161.997406092602
321,161.553169062267
321.50,161.114166592167
322,160.680398682300
322.50,160.251865332666
323,159.828566543266
323.50,159.410502314100
324,158.997672645167
324.50,158.590077536468
325,158.187716988003
325.50,157.790590999771
326,157.398699571773
326.50,157.012042704008
327,156.630620396477
327.50,156.253732571246
328,155.879545719961
328.50,155.509783062552
329,155.144387082806
329.50,154.783300264510
330,154.426465091451
330.50,154.073824047414
331,153.725319616187
331.50,153.380894281556
332,153.040490527307
332.50,152.704050837228
333,152.371517695105
333.50,152.042833584723
334,151.717940989871
334.50,151.396782394333
335,151.079300281898
335.50,150.765437136351
336,150.455135441479
336.50,150.148337681069
337,149.844986338906
337.50,149.545023898779
338,149.248392844472
338.50,148.955035659773
339,148.664894828469
339.50,148.377912834345
340,148.094032161189
340.50,147.813195292787
341,147.535344712925
341.50,147.262821246040
342,146.993996519281
342.50,146.728313233293
343,146.465725073647
343.50,146.206185725918
344,145.949648875679
344.50,145.696068208502
345,145.445397409962
345.50,145.197590165630
346,144.952600161082
346.50,144.710381081889
347,144.470886613625
347.50,144.234070441863
348,143.999886252177
348.50,143.768287730139
349,143.539228561324
349.50,143.312662431303
350,143.088543025650
